interaction_count,seed_count,mean_raw_ramp_reward,median_raw_ramp_reward,mean_raw_incremental_ramp_impact,median_raw_incremental_ramp_impact,mean_episode_count,mean_elapsed_seconds
2048,10,-1.61751215689778e-06,-1.6502888594626175e-06,1.61751215689778e-06,1.6502888594626175e-06,72.0,29.393964359979144
4096,10,3.85798714321204e-07,3.2954549796511453e-07,-3.85798714321204e-07,-3.2954549796511453e-07,76.0,58.23194937997032
6144,10,2.9420549763154447e-06,3.174449745810511e-06,-2.9420549763154447e-06,-3.174449745810511e-06,76.0,88.94187024000567
8192,10,6.013853554194927e-06,5.959394375827388e-06,-6.013853554194927e-06,-5.959394375827388e-06,76.0,118.30702073001302
10240,10,9.145444017539045e-06,9.373765168370278e-06,-9.145444017539045e-06,-9.373765168370278e-06,76.0,147.1070743500255
12288,10,1.1711059694684578e-05,1.1595032044141285e-05,-1.1711059694684578e-05,-1.1595032044141285e-05,76.0,176.6186785799917
14336,10,1.4433971110376003e-05,1.4633449477675867e-05,-1.4433971110376003e-05,-1.4633449477675867e-05,76.0,206.0478547200095
16384,10,1.7804221289071422e-05,1.7998642844711944e-05,-1.7804221289071422e-05,-1.7998642844711944e-05,76.0,235.26587749999015
18432,10,2.0229180402884558e-05,2.0109758943834576e-05,-2.0229180402884558e-05,-2.0109758943834576e-05,76.0,265.23570989000143
20480,10,2.2924356399084066e-05,2.3214125226867363e-05,-2.2924356399084066e-05,-2.3214125226867363e-05,76.0,295.22472667000255
22528,10,2.4976981734342694e-05,2.4980154840085633e-05,-2.4976981734342694e-05,-2.4980154840085633e-05,76.0,324.64274570997804
24576,10,2.6260678739296052e-05,2.581924889817446e-05,-2.6260678739296052e-05,-2.581924889817446e-05,76.0,352.50636960000264
26624,10,2.849361503250828e-05,2.8669198492846847e-05,-2.849361503250828e-05,-2.8669198492846847e-05,76.0,381.76507234999445
28672,10,3.0635570525722295e-05,3.0670265105888464e-05,-3.0635570525722295e-05,-3.0670265105888464e-05,76.0,410.0848162200069
30720,10,3.176333855615264e-05,3.1769505711663735e-05,-3.176333855615264e-05,-3.1769505711663735e-05,76.0,438.8453196299961
32768,10,3.2670297709005604e-05,3.2432108898361144e-05,-3.2670297709005604e-05,-3.2432108898361144e-05,76.0,468.4772459199885
34816,10,3.55247735648214e-05,3.540969890161589e-05,-3.55247735648214e-05,-3.540969890161589e-05,76.0,498.0002559199696
36864,10,3.652976253634311e-05,3.71449029245049e-05,-3.652976253634311e-05,-3.71449029245049e-05,76.0,526.3726689699572
38912,10,3.694395693762671e-05,3.73635005410023e-05,-3.694395693762671e-05,-3.73635005410023e-05,76.0,554.9478154899786
40960,10,3.8565409751324946e-05,3.887002339134419e-05,-3.8565409751324946e-05,-3.887002339134419e-05,76.0,582.9344807999908
43008,10,3.9872003923192785e-05,3.994184193111948e-05,-3.9872003923192785e-05,-3.994184193111948e-05,76.0,611.8437191199512
45056,10,4.068126711537429e-05,4.1129206165329416e-05,-4.068126711537429e-05,-4.1129206165329416e-05,76.0,639.678970539989
47104,10,4.020802505651748e-05,4.0136627018459814e-05,-4.020802505651748e-05,-4.0136627018459814e-05,76.0,667.7881683300017
49152,10,4.171519289076907e-05,4.155516711183669e-05,-4.171519289076907e-05,-4.155516711183669e-05,76.0,695.8848451900063
51200,10,4.274743661027373e-05,4.272951659321896e-05,-4.274743661027373e-05,-4.272951659321896e-05,76.0,725.4162976699648
53248,10,4.340691068199952e-05,4.296241337563781e-05,-4.340691068199952e-05,-4.296241337563781e-05,76.0,757.5019665199798
55296,10,4.397856798067648e-05,4.4180379105665724e-05,-4.397856798067648e-05,-4.4180379105665724e-05,76.0,789.2726824699901
57344,10,4.3967479298172326e-05,4.366477819160275e-05,-4.3967479298172326e-05,-4.366477819160275e-05,72.0,821.7187319299904
59392,10,4.533694940995263e-05,4.5073946802384155e-05,-4.533694940995263e-05,-4.5073946802384155e-05,76.0,852.9949115200201
61440,10,4.620424933547576e-05,4.622742579466712e-05,-4.620424933547576e-05,-4.622742579466712e-05,76.0,885.0558623899473
63488,10,4.587161621405084e-05,4.590367692624444e-05,-4.587161621405084e-05,-4.590367692624444e-05,76.0,917.4398785699857
65536,10,4.680028172358609e-05,4.6678148196372995e-05,-4.680028172358609e-05,-4.6678148196372995e-05,76.0,950.4541134600062
67584,10,4.7232451375188045e-05,4.707809496695056e-05,-4.7232451375188045e-05,-4.707809496695056e-05,76.0,982.0428946400061
69632,10,4.811781350588917e-05,4.803088613622672e-05,-4.811781350588917e-05,-4.803088613622672e-05,76.0,1016.0401890699519
71680,10,4.773307928850061e-05,4.7623421295831915e-05,-4.773307928850061e-05,-4.7623421295831915e-05,76.0,1050.074464869988
73728,10,4.909045461736e-05,4.857548468645445e-05,-4.909045461736e-05,-4.857548468645445e-05,76.0,1086.726043589972
75776,10,4.948683387431475e-05,4.903472332320131e-05,-4.948683387431475e-05,-4.903472332320131e-05,76.0,1124.5102920599747
77824,10,4.929813298287496e-05,4.923186642124471e-05,-4.929813298287496e-05,-4.923186642124471e-05,76.0,1161.01210465997
79872,10,4.950836833408417e-05,4.9666049033680336e-05,-4.950836833408417e-05,-4.9666049033680336e-05,76.0,1198.9438987100032
81920,10,4.9934293799080455e-05,4.9382533071991804e-05,-4.9934293799080455e-05,-4.9382533071991804e-05,76.0,1236.1752321099862
83968,10,5.085363125631784e-05,5.034559102666145e-05,-5.085363125631784e-05,-5.034559102666145e-05,76.0,1271.0167857100023
86016,10,5.020608996850882e-05,4.9846917006701425e-05,-5.020608996850882e-05,-4.9846917006701425e-05,76.0,1307.701194399991
88064,10,5.116785713874345e-05,5.098210337325189e-05,-5.116785713874345e-05,-5.098210337325189e-05,76.0,1344.1525650999974
90112,10,5.14241727041754e-05,5.124854131605338e-05,-5.14241727041754e-05,-5.124854131605338e-05,76.0,1380.770915000001
92160,10,5.256815694359441e-05,5.278513393367092e-05,-5.256815694359441e-05,-5.278513393367092e-05,76.0,1418.4345488599733
94208,10,5.2350429620192556e-05,5.256976519867817e-05,-5.2350429620192556e-05,-5.256976519867817e-05,76.0,1455.9556190200383
96256,10,5.295979405742715e-05,5.323749519738664e-05,-5.295979405742715e-05,-5.323749519738664e-05,76.0,1493.5706726500066
98304,10,5.256365018674946e-05,5.273919667793536e-05,-5.256365018674946e-05,-5.273919667793536e-05,76.0,1529.8512192400171
100352,10,5.29594024066757e-05,5.258986761750801e-05,-5.29594024066757e-05,-5.258986761750801e-05,76.0,1565.0375414900016
102400,10,5.380356978099564e-05,5.3937156970295264e-05,-5.380356978099564e-05,-5.3937156970295264e-05,76.0,1600.3745948000112
104448,10,5.3335912061224854e-05,5.26696210824967e-05,-5.3335912061224854e-05,-5.26696210824967e-05,76.0,1634.5902409500209
106496,10,5.390987386793281e-05,5.420281458050684e-05,-5.390987386793281e-05,-5.420281458050684e-05,76.0,1670.4516506600194
108544,10,5.435597695690389e-05,5.424576238845338e-05,-5.435597695690389e-05,-5.424576238845338e-05,76.0,1705.8306756899924
110592,10,5.3903664780372205e-05,5.391687486075664e-05,-5.3903664780372205e-05,-5.391687486075664e-05,76.0,1740.8112134899711
112640,10,5.441862661134806e-05,5.46842416609609e-05,-5.441862661134806e-05,-5.46842416609609e-05,72.0,1774.8979236500104
114688,10,5.375516051847926e-05,5.3714535061228025e-05,-5.375516051847926e-05,-5.3714535061228025e-05,76.0,1810.981576539972
116736,10,5.5110511793000855e-05,5.526296294800881e-05,-5.5110511793000855e-05,-5.526296294800881e-05,76.0,1844.4581354599911
118784,10,5.542339943656408e-05,5.536190756713201e-05,-5.542339943656408e-05,-5.536190756713201e-05,76.0,17098.548981379998
120832,10,5.523584183004333e-05,5.486580583518512e-05,-5.523584183004333e-05,-5.486580583518512e-05,76.0,17138.718719079996
122880,10,5.539217756985913e-05,5.5605156285261134e-05,-5.539217756985913e-05,-5.5605156285261134e-05,76.0,17179.20665413998
124928,10,5.569437503913053e-05,5.575038292614712e-05,-5.569437503913053e-05,-5.575038292614712e-05,76.0,17218.262132290005
126976,10,5.6422522761240474e-05,5.6537522803692174e-05,-5.6422522761240474e-05,-5.6537522803692174e-05,76.0,17253.01018286999
129024,10,5.5247902014476236e-05,5.4954928833954604e-05,-5.5247902014476236e-05,-5.4954928833954604e-05,76.0,17286.568193720024
131072,10,5.6808339096055274e-05,5.66551329525989e-05,-5.6808339096055274e-05,-5.66551329525989e-05,76.0,17319.523316960014
133120,10,5.635966826143161e-05,5.666798938839015e-05,-5.635966826143161e-05,-5.666798938839015e-05,76.0,17351.276232260047
135168,10,5.649404735877747e-05,5.6546299580858774e-05,-5.649404735877747e-05,-5.6546299580858774e-05,76.0,17383.731889689992
137216,10,5.653193979356652e-05,5.630731177369752e-05,-5.653193979356652e-05,-5.630731177369752e-05,76.0,17415.99118493998
139264,10,5.709081321161016e-05,5.7878313581078676e-05,-5.709081321161016e-05,-5.7878313581078676e-05,76.0,17447.96261709002
141312,10,5.6987674123085304e-05,5.698148570230363e-05,-5.6987674123085304e-05,-5.698148570230363e-05,76.0,17479.78644783001
143360,10,5.724743546551521e-05,5.6785509586016e-05,-5.724743546551521e-05,-5.6785509586016e-05,76.0,17510.01740706996
145408,10,5.7885890571478764e-05,5.807594433269461e-05,-5.7885890571478764e-05,-5.807594433269461e-05,76.0,17539.772501079995
147456,10,5.7201580028281776e-05,5.697486529964884e-05,-5.7201580028281776e-05,-5.697486529964884e-05,76.0,17569.962782289997
149504,10,5.760192935152845e-05,5.777214668634607e-05,-5.760192935152845e-05,-5.777214668634607e-05,76.0,17597.979601019993
151552,10,5.841727278477529e-05,5.859443800657089e-05,-5.841727278477529e-05,-5.859443800657089e-05,76.0,17625.725109479994
153600,10,5.7615690799417706e-05,5.770238953708479e-05,-5.7615690799417706e-05,-5.770238953708479e-05,76.0,17653.53837347997
155648,10,5.829040172253733e-05,5.781240445447898e-05,-5.829040172253733e-05,-5.781240445447898e-05,76.0,17680.849883560022
157696,10,5.797786310569798e-05,5.792665951425707e-05,-5.797786310569798e-05,-5.792665951425707e-05,76.0,17709.03479642002
159744,10,5.902829995361023e-05,5.907336640345087e-05,-5.902829995361023e-05,-5.907336640345087e-05,76.0,17736.96551887996
161792,10,5.843915795564073e-05,5.886963617280689e-05,-5.843915795564073e-05,-5.886963617280689e-05,76.0,17763.897673230014
163840,10,5.9239211404259204e-05,5.925188277411946e-05,-5.9239211404259204e-05,-5.925188277411946e-05,76.0,17791.138737889985
165888,10,5.9443388513277986e-05,5.961354560143064e-05,-5.9443388513277986e-05,-5.961354560143064e-05,76.0,17819.246778319986
167936,10,5.85752300079705e-05,5.881522519942478e-05,-5.85752300079705e-05,-5.881522519942478e-05,72.0,17847.26338273997
169984,10,5.9060243277725324e-05,5.9090074364575226e-05,-5.9060243277725324e-05,-5.9090074364575226e-05,76.0,17874.51557016999
172032,10,5.860377902541885e-05,5.8811469788051014e-05,-5.860377902541885e-05,-5.8811469788051014e-05,76.0,17902.736574300005
174080,10,6.118749755338571e-05,6.132254262277924e-05,-6.118749755338571e-05,-6.132254262277924e-05,76.0,17931.233619179973
176128,10,5.951466401741754e-05,5.914968734042527e-05,-5.951466401741754e-05,-5.914968734042527e-05,76.0,17958.684046490023
178176,10,5.900474221222782e-05,5.912287014322667e-05,-5.900474221222782e-05,-5.912287014322667e-05,76.0,17985.958102949964
180224,10,5.950107750086748e-05,5.965190381648486e-05,-5.950107750086748e-05,-5.965190381648486e-05,76.0,18013.379791420048
182272,10,5.924836365250683e-05,5.9279530387821146e-05,-5.924836365250683e-05,-5.9279530387821146e-05,76.0,18041.159823470003
184320,10,6.016047859030046e-05,6.018174373536178e-05,-6.016047859030046e-05,-6.018174373536178e-05,76.0,18069.283567720024
