# short:us:R3_P1:s301
# job: {"combo": "R3_P1", "controller_scope": {"replay_ablation": "safety_plus_negative_demand_flush", "training": "safety_only"}, "deadline_bucket_edges": [1, 3, 6, 12, 24], "job_fingerprint": "eb5b386099f6c6d70af4ec2f465d2f54c2807a7722bd1a7cef130bf087c4ffa6", "peak_penalty_weight": 0.015, "ppo": {"batch_size": 64, "gae_lambda": 0.99, "gamma": 1.0, "learning_rate": 0.0003, "learning_rate_schedule": "linear", "n_epochs": 10, "n_steps": 2048, "net_arch": [128, 128], "normalize_observations": false, "target_kl": 0.02}, "protocol_sha256": "42a39388adf3a1ed7597c255fa5352f690783b9e10cd49de60eae72e576ded6b", "region": "us", "reward": {"batch_completion_weight": 1000.0, "evaluation_batch_completion_weight": 1000.0, "evaluation_service_backlog_weight": 1000.0, "reward_scale": 0.0001, "service_backlog_weight": 700.0, "subtract_idle_cost": false, "urgency_potential_weight": 0.0}, "safety": {"batch_arrival_envelope_total": 1.0, "envelope_id": "ad-rounded-envelope-v1", "envelope_scope": "a-d-development-only", "future_fleet_capacity_total": 4.0, "max_grid_mw": null, "max_upward_ramp_mw": null, "negative_demand_flush": false, "negative_demand_flush_price_ceiling": null, "service_envelope_total": 2.25, "tolerance": 1e-09}, "seed": 301, "source_combo": "R3_P1", "stage": "short", "timesteps": 151552, "train_scenario": "env/scenarios/us_model_v2_2025.yaml", "transfer_scenario": "env/scenarios/us_model_eh_v2_2025.yaml"}
# command: C:\Python314\python.exe train_v4.py --scenario C:\Users\jagal\copilot-worktrees\dc-energy-joint-optimization\jagal-microsoft-literate-umbrella\env\scenarios\us_model_v2_2025.yaml --model-path C:\Users\jagal\copilot-worktrees\dc-energy-joint-optimization\jagal-microsoft-literate-umbrella\models\ppo_v4_safety\_tmp\short_us_R3_P1_s301_4fc79bf4f5ed4db980604c54a0b57a0d\model.zip --diagnostics-path C:\Users\jagal\copilot-worktrees\dc-energy-joint-optimization\jagal-microsoft-literate-umbrella\models\ppo_v4_safety\_tmp\short_us_R3_P1_s301_4fc79bf4f5ed4db980604c54a0b57a0d\training.json --timesteps 151552 --seed 301 --lr 0.0003 --lr-schedule linear --n-steps 2048 --batch-size 64 --n-epochs 10 --gamma 1.0 --gae-lambda 0.99 --net-arch 128 128 --peak-penalty-weight 0.015 --service-backlog-weight 700.0 --batch-completion-weight 1000.0 --reward-scale 0.0001 --urgency-potential-weight 0.0 --service-envelope-total 2.25 --batch-arrival-envelope-total 1.0 --future-fleet-capacity-total 4.0 --envelope-id ad-rounded-envelope-v1 --envelope-scope a-d-development-only --target-kl 0.02
# started: 2026-08-06T20:40:23.177930+00:00

Using cpu device
-----------------------------
| time/              |      |
|    fps             | 278  |
|    iterations      | 1    |
|    time_elapsed    | 7    |
|    total_timesteps | 2048 |
-----------------------------
-----------------------------------------
| time/                   |             |
|    fps                  | 244         |
|    iterations           | 2           |
|    time_elapsed         | 16          |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.011731359 |
|    clip_fraction        | 0.149       |
|    clip_range           | 0.2         |
|    entropy_loss         | -17         |
|    explained_variance   | 0.00971     |
|    learning_rate        | 0.000296    |
|    loss                 | 0.664       |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0155     |
|    std                  | 1           |
|    value_loss           | 3.95        |
-----------------------------------------
-----------------------------------------
| time/                   |             |
|    fps                  | 242         |
|    iterations           | 3           |
|    time_elapsed         | 25          |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.010762453 |
|    clip_fraction        | 0.0838      |
|    clip_range           | 0.2         |
|    entropy_loss         | -17         |
|    explained_variance   | 0.331       |
|    learning_rate        | 0.000292    |
|    loss                 | 0.95        |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0131     |
|    std                  | 0.999       |
|    value_loss           | 9.01        |
-----------------------------------------
-----------------------------------------
| time/                   |             |
|    fps                  | 233         |
|    iterations           | 4           |
|    time_elapsed         | 35          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.009488614 |
|    clip_fraction        | 0.0913      |
|    clip_range           | 0.2         |
|    entropy_loss         | -17         |
|    explained_variance   | 0.625       |
|    learning_rate        | 0.000288    |
|    loss                 | 1.73        |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0128     |
|    std                  | 0.999       |
|    value_loss           | 5.25        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 8.93e+03   |
|    ep_rew_mean          | -662       |
| time/                   |            |
|    fps                  | 236        |
|    iterations           | 5          |
|    time_elapsed         | 43         |
|    total_timesteps      | 10240      |
| train/                  |            |
|    approx_kl            | 0.01015061 |
|    clip_fraction        | 0.0896     |
|    clip_range           | 0.2        |
|    entropy_loss         | -17        |
|    explained_variance   | 0.633      |
|    learning_rate        | 0.000284   |
|    loss                 | 2.63       |
|    n_updates            | 40         |
|    policy_gradient_loss | -0.0108    |
|    std                  | 0.999      |
|    value_loss           | 6.44       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -662        |
| time/                   |             |
|    fps                  | 233         |
|    iterations           | 6           |
|    time_elapsed         | 52          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.008589756 |
|    clip_fraction        | 0.11        |
|    clip_range           | 0.2         |
|    entropy_loss         | -17         |
|    explained_variance   | 0.232       |
|    learning_rate        | 0.00028     |
|    loss                 | 9.04        |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0119     |
|    std                  | 0.999       |
|    value_loss           | 25          |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -662        |
| time/                   |             |
|    fps                  | 233         |
|    iterations           | 7           |
|    time_elapsed         | 61          |
|    total_timesteps      | 14336       |
| train/                  |             |
|    approx_kl            | 0.010998744 |
|    clip_fraction        | 0.127       |
|    clip_range           | 0.2         |
|    entropy_loss         | -17         |
|    explained_variance   | 0.557       |
|    learning_rate        | 0.000276    |
|    loss                 | 1.31        |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.00889    |
|    std                  | 0.998       |
|    value_loss           | 8.1         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -662        |
| time/                   |             |
|    fps                  | 232         |
|    iterations           | 8           |
|    time_elapsed         | 70          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.009486493 |
|    clip_fraction        | 0.106       |
|    clip_range           | 0.2         |
|    entropy_loss         | -17         |
|    explained_variance   | 0.59        |
|    learning_rate        | 0.000272    |
|    loss                 | 2.6         |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0129     |
|    std                  | 0.997       |
|    value_loss           | 8.68        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -660        |
| time/                   |             |
|    fps                  | 232         |
|    iterations           | 9           |
|    time_elapsed         | 79          |
|    total_timesteps      | 18432       |
| train/                  |             |
|    approx_kl            | 0.011709286 |
|    clip_fraction        | 0.118       |
|    clip_range           | 0.2         |
|    entropy_loss         | -17         |
|    explained_variance   | 0.768       |
|    learning_rate        | 0.000268    |
|    loss                 | 1.38        |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.014      |
|    std                  | 0.997       |
|    value_loss           | 6.75        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -660        |
| time/                   |             |
|    fps                  | 231         |
|    iterations           | 10          |
|    time_elapsed         | 88          |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.008157589 |
|    clip_fraction        | 0.0667      |
|    clip_range           | 0.2         |
|    entropy_loss         | -17         |
|    explained_variance   | 0.145       |
|    learning_rate        | 0.000264    |
|    loss                 | 20.2        |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.011      |
|    std                  | 0.994       |
|    value_loss           | 58.7        |
-----------------------------------------
Early stopping at step 3 due to reaching max kl: 0.03
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -660        |
| time/                   |             |
|    fps                  | 235         |
|    iterations           | 11          |
|    time_elapsed         | 95          |
|    total_timesteps      | 22528       |
| train/                  |             |
|    approx_kl            | 0.011520799 |
|    clip_fraction        | 0.0436      |
|    clip_range           | 0.2         |
|    entropy_loss         | -17         |
|    explained_variance   | 0.0476      |
|    learning_rate        | 0.000259    |
|    loss                 | 2.76        |
|    n_updates            | 94          |
|    policy_gradient_loss | -0.000368   |
|    std                  | 0.995       |
|    value_loss           | 23.5        |
-----------------------------------------
Early stopping at step 4 due to reaching max kl: 0.03
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 8.93e+03     |
|    ep_rew_mean          | -660         |
| time/                   |              |
|    fps                  | 237          |
|    iterations           | 12           |
|    time_elapsed         | 103          |
|    total_timesteps      | 24576        |
| train/                  |              |
|    approx_kl            | 0.0154458415 |
|    clip_fraction        | 0.114        |
|    clip_range           | 0.2          |
|    entropy_loss         | -17          |
|    explained_variance   | 0.0924       |
|    learning_rate        | 0.000255     |
|    loss                 | 1.88         |
|    n_updates            | 99           |
|    policy_gradient_loss | -0.00329     |
|    std                  | 0.994        |
|    value_loss           | 17.9         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -660        |
| time/                   |             |
|    fps                  | 235         |
|    iterations           | 13          |
|    time_elapsed         | 112         |
|    total_timesteps      | 26624       |
| train/                  |             |
|    approx_kl            | 0.011722706 |
|    clip_fraction        | 0.125       |
|    clip_range           | 0.2         |
