# short:global:R0_P3:s301
# job: {"combo": "R0_P3", "controller_scope": {"replay_ablation": "safety_plus_negative_demand_flush", "training": "safety_only"}, "deadline_bucket_edges": [1, 3, 6, 12, 24], "job_fingerprint": "59fabf0fe3077ea8c362d122c8893c226c6e2d9371f194b2362b02b832cf391d", "peak_penalty_weight": 0.015, "ppo": {"batch_size": 64, "gae_lambda": 0.95, "gamma": 1.0, "learning_rate": 0.0003, "learning_rate_schedule": "fixed", "n_epochs": 10, "n_steps": 2048, "net_arch": [128, 128], "normalize_observations": false, "target_kl": null}, "protocol_sha256": "42a39388adf3a1ed7597c255fa5352f690783b9e10cd49de60eae72e576ded6b", "region": "global", "reward": {"batch_completion_weight": 1500.0, "evaluation_batch_completion_weight": 1000.0, "evaluation_service_backlog_weight": 1000.0, "reward_scale": 0.0001, "service_backlog_weight": 700.0, "subtract_idle_cost": false, "urgency_potential_weight": 250.0}, "safety": {"batch_arrival_envelope_total": 1.0, "envelope_id": "ad-rounded-envelope-v1", "envelope_scope": "a-d-development-only", "future_fleet_capacity_total": 4.0, "max_grid_mw": null, "max_upward_ramp_mw": null, "negative_demand_flush": false, "negative_demand_flush_price_ceiling": null, "service_envelope_total": 2.25, "tolerance": 1e-09}, "seed": 301, "source_combo": "R0_P3", "stage": "short", "timesteps": 151552, "train_scenario": "env/scenarios/global_model_v2_2025.yaml", "transfer_scenario": "env/scenarios/global_model_eh_v2_2025.yaml"}
# command: C:\Python314\python.exe train_v4.py --scenario C:\Users\jagal\copilot-worktrees\dc-energy-joint-optimization\jagal-microsoft-literate-umbrella\env\scenarios\global_model_v2_2025.yaml --model-path C:\Users\jagal\copilot-worktrees\dc-energy-joint-optimization\jagal-microsoft-literate-umbrella\models\ppo_v4_safety\_tmp\short_global_R0_P3_s301_5cdc2382962d46f3b19c32f1e61dcac8\model.zip --diagnostics-path C:\Users\jagal\copilot-worktrees\dc-energy-joint-optimization\jagal-microsoft-literate-umbrella\models\ppo_v4_safety\_tmp\short_global_R0_P3_s301_5cdc2382962d46f3b19c32f1e61dcac8\training.json --timesteps 151552 --seed 301 --lr 0.0003 --lr-schedule fixed --n-steps 2048 --batch-size 64 --n-epochs 10 --gamma 1.0 --gae-lambda 0.95 --net-arch 128 128 --peak-penalty-weight 0.015 --service-backlog-weight 700.0 --batch-completion-weight 1500.0 --reward-scale 0.0001 --urgency-potential-weight 250.0 --service-envelope-total 2.25 --batch-arrival-envelope-total 1.0 --future-fleet-capacity-total 4.0 --envelope-id ad-rounded-envelope-v1 --envelope-scope a-d-development-only
# started: 2026-08-06T20:40:23.171947+00:00

Using cpu device
-----------------------------
| time/              |      |
|    fps             | 278  |
|    iterations      | 1    |
|    time_elapsed    | 7    |
|    total_timesteps | 2048 |
-----------------------------
-----------------------------------------
| time/                   |             |
|    fps                  | 244         |
|    iterations           | 2           |
|    time_elapsed         | 16          |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.012118523 |
|    clip_fraction        | 0.145       |
|    clip_range           | 0.2         |
|    entropy_loss         | -17         |
|    explained_variance   | -0.119      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.000951   |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0163     |
|    std                  | 0.999       |
|    value_loss           | 0.0636      |
-----------------------------------------
------------------------------------------
| time/                   |              |
|    fps                  | 243          |
|    iterations           | 3            |
|    time_elapsed         | 25           |
|    total_timesteps      | 6144         |
| train/                  |              |
|    approx_kl            | 0.0127836745 |
|    clip_fraction        | 0.141        |
|    clip_range           | 0.2          |
|    entropy_loss         | -17          |
|    explained_variance   | 0.494        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00201      |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.0185      |
|    std                  | 0.998        |
|    value_loss           | 0.106        |
------------------------------------------
-----------------------------------------
| time/                   |             |
|    fps                  | 234         |
|    iterations           | 4           |
|    time_elapsed         | 34          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.014168811 |
|    clip_fraction        | 0.155       |
|    clip_range           | 0.2         |
|    entropy_loss         | -17         |
|    explained_variance   | 0.728       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0375     |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0181     |
|    std                  | 1           |
|    value_loss           | 0.0922      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 8.93e+03   |
|    ep_rew_mean          | -666       |
| time/                   |            |
|    fps                  | 237        |
|    iterations           | 5          |
|    time_elapsed         | 43         |
|    total_timesteps      | 10240      |
| train/                  |            |
|    approx_kl            | 0.01529508 |
|    clip_fraction        | 0.159      |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.1      |
|    explained_variance   | 0.876      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.00629    |
|    n_updates            | 40         |
|    policy_gradient_loss | -0.0176    |
|    std                  | 1          |
|    value_loss           | 0.0954     |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 8.93e+03     |
|    ep_rew_mean          | -666         |
| time/                   |              |
|    fps                  | 234          |
|    iterations           | 6            |
|    time_elapsed         | 52           |
|    total_timesteps      | 12288        |
| train/                  |              |
|    approx_kl            | 0.0130509455 |
|    clip_fraction        | 0.163        |
|    clip_range           | 0.2          |
|    entropy_loss         | -17.1        |
|    explained_variance   | 0.793        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0508       |
|    n_updates            | 50           |
|    policy_gradient_loss | -0.0177      |
|    std                  | 1            |
|    value_loss           | 0.259        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -666        |
| time/                   |             |
|    fps                  | 233         |
|    iterations           | 7           |
|    time_elapsed         | 61          |
|    total_timesteps      | 14336       |
| train/                  |             |
|    approx_kl            | 0.012754745 |
|    clip_fraction        | 0.122       |
|    clip_range           | 0.2         |
|    entropy_loss         | -17.1       |
|    explained_variance   | 0.902       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00515     |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0103     |
|    std                  | 1           |
|    value_loss           | 0.148       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -666        |
| time/                   |             |
|    fps                  | 233         |
|    iterations           | 8           |
|    time_elapsed         | 70          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.012698989 |
|    clip_fraction        | 0.168       |
|    clip_range           | 0.2         |
|    entropy_loss         | -17         |
|    explained_variance   | 0.938       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0121      |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0177     |
|    std                  | 1           |
|    value_loss           | 0.126       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 8.93e+03   |
|    ep_rew_mean          | -663       |
| time/                   |            |
|    fps                  | 233        |
|    iterations           | 9          |
|    time_elapsed         | 79         |
|    total_timesteps      | 18432      |
| train/                  |            |
|    approx_kl            | 0.01744037 |
|    clip_fraction        | 0.163      |
|    clip_range           | 0.2        |
|    entropy_loss         | -17        |
|    explained_variance   | 0.972      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.00706   |
|    n_updates            | 80         |
|    policy_gradient_loss | -0.0136    |
|    std                  | 0.999      |
|    value_loss           | 0.135      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -663        |
| time/                   |             |
|    fps                  | 232         |
|    iterations           | 10          |
|    time_elapsed         | 88          |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.015033663 |
|    clip_fraction        | 0.144       |
|    clip_range           | 0.2         |
|    entropy_loss         | -17         |
|    explained_variance   | 0.73        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.413       |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.0144     |
|    std                  | 0.993       |
|    value_loss           | 0.72        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -663        |
| time/                   |             |
|    fps                  | 233         |
|    iterations           | 11          |
|    time_elapsed         | 96          |
|    total_timesteps      | 22528       |
| train/                  |             |
|    approx_kl            | 0.011270501 |
|    clip_fraction        | 0.143       |
|    clip_range           | 0.2         |
|    entropy_loss         | -17         |
|    explained_variance   | 0.968       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.051       |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.0123     |
|    std                  | 0.997       |
|    value_loss           | 0.236       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -663        |
| time/                   |             |
|    fps                  | 233         |
|    iterations           | 12          |
|    time_elapsed         | 105         |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.013787608 |
|    clip_fraction        | 0.164       |
|    clip_range           | 0.2         |
|    entropy_loss         | -17         |
|    explained_variance   | 0.953       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0285      |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0142     |
|    std                  | 0.994       |
|    value_loss           | 0.195       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -663        |
| time/                   |             |
|    fps                  | 232         |
|    iterations           | 13          |
|    time_elapsed         | 114         |
|    total_timesteps      | 26624       |
| train/                  |             |
|    approx_kl            | 0.014534989 |
|    clip_fraction        | 0.142       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.9       |
|    explained_variance   | 0.975       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0598      |
