seed,market,split,mean_incremental_ramp_impact
2601,CAISO_NP15,validation,-1.925280383177792e-05
2601,ERCOT_LZ_NORTH,validation,-3.686663358468572e-06
2601,ISONE_NEMA,validation,-2.4313134379142463e-05
2601,MISO_MINN_HUB,validation,-4.220378328284354e-07
2601,NYISO_NYC_J,validation,-3.7956635263632484e-05
2601,SPP_NORTH_HUB,validation,-2.805337551198059e-06
2602,CAISO_NP15,validation,-2.0506983654529605e-05
2602,ERCOT_LZ_NORTH,validation,-4.166293417221704e-06
2602,ISONE_NEMA,validation,-2.6257174065884525e-05
2602,MISO_MINN_HUB,validation,5.204752530764366e-08
2602,NYISO_NYC_J,validation,-4.0172733314908655e-05
2602,SPP_NORTH_HUB,validation,-4.247758238965466e-06
2603,CAISO_NP15,validation,-2.064544173633907e-05
2603,ERCOT_LZ_NORTH,validation,-4.196288600581674e-06
2603,ISONE_NEMA,validation,-2.625947145964107e-05
2603,MISO_MINN_HUB,validation,-1.9848446149340614e-07
2603,NYISO_NYC_J,validation,-4.0280245311714444e-05
2603,SPP_NORTH_HUB,validation,-2.832354559064442e-06
2604,CAISO_NP15,validation,-3.765109494839855e-06
2604,ERCOT_LZ_NORTH,validation,-1.3193352225742725e-06
2604,ISONE_NEMA,validation,-3.220468324104662e-06
2604,MISO_MINN_HUB,validation,-9.426089599260857e-07
2604,NYISO_NYC_J,validation,-1.4680934926644507e-05
2604,SPP_NORTH_HUB,validation,-1.1997229521873995e-07
2605,CAISO_NP15,validation,-9.491143193317271e-06
2605,ERCOT_LZ_NORTH,validation,-1.3588311299224961e-06
2605,ISONE_NEMA,validation,-1.0754062468302472e-06
2605,MISO_MINN_HUB,validation,-2.4005659230947666e-06
2605,NYISO_NYC_J,validation,-1.2423860701153816e-05
2605,SPP_NORTH_HUB,validation,2.2979804647748342e-07
