timestep,solar_fraction
0,0.01345
1,0.0123291666666666
2,0.0112083333333333
3,0.0100875
4,0.0089666666666666
5,0.0078458333333333
6,0.006725
7,0.0056041666666666
8,0.0044833333333333
9,0.0033625
10,0.0022416666666666
11,0.0011208333333333
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0002791666666666
122,0.0005583333333333
123,0.0008375
124,0.0011166666666666
125,0.0013958333333333
126,0.001675
127,0.0019541666666666
128,0.0022333333333333
129,0.0025125
130,0.0027916666666666
131,0.0030708333333333
132,0.00335
133,0.0063375
134,0.009325
135,0.0123125
136,0.0153
137,0.0182875
138,0.021275
139,0.0242625
140,0.02725
141,0.0302375
142,0.033225
143,0.0362125
144,0.0392
145,0.0424041666666666
146,0.0456083333333333
147,0.0488125
148,0.0520166666666666
149,0.0552208333333333
150,0.058425
151,0.0616291666666666
152,0.0648333333333333
153,0.0680375
154,0.0712416666666666
155,0.0744458333333333
156,0.07765
157,0.081075
158,0.0845
159,0.087925
160,0.09135
161,0.094775
162,0.0982
163,0.101625
164,0.1050499999999999
165,0.1084749999999999
166,0.1119
167,0.115325
168,0.11875
169,0.1265666666666666
170,0.1343833333333333
171,0.1422
172,0.1500166666666667
173,0.1578333333333333
174,0.16565
175,0.1734666666666666
176,0.1812833333333333
177,0.1891
178,0.1969166666666666
179,0.2047333333333333
180,0.21255
181,0.2113166666666666
182,0.2100833333333333
183,0.20885
184,0.2076166666666666
185,0.2063833333333333
186,0.20515
187,0.2039166666666667
188,0.2026833333333333
189,0.20145
190,0.2002166666666666
191,0.1989833333333333
192,0.19775
193,0.2052416666666666
194,0.2127333333333333
195,0.220225
196,0.2277166666666666
197,0.2352083333333333
198,0.2427
199,0.2501916666666666
200,0.2576833333333333
201,0.2651749999999999
202,0.2726666666666666
203,0.2801583333333333
204,0.2876499999999999
205,0.2962875
206,0.3049249999999999
207,0.3135625
208,0.3222
209,0.3308374999999999
210,0.339475
211,0.3481125
212,0.35675
213,0.3653875
214,0.374025
215,0.3826625
216,0.3913
217,0.3845041666666666
218,0.3777083333333333
219,0.3709125
220,0.3641166666666667
221,0.3573208333333333
222,0.350525
223,0.3437291666666667
224,0.3369333333333333
225,0.3301375
226,0.3233416666666667
227,0.3165458333333333
228,0.30975
229,0.3044708333333333
230,0.2991916666666667
231,0.2939125
232,0.2886333333333333
233,0.2833541666666667
234,0.2780749999999999
235,0.2727958333333333
236,0.2675166666666666
237,0.2622375
238,0.2569583333333333
239,0.2516791666666667
240,0.2464
241,0.24035
242,0.2343
243,0.22825
244,0.2221999999999999
245,0.21615
246,0.2100999999999999
247,0.2040499999999999
248,0.198
249,0.1919499999999999
250,0.1858999999999999
251,0.1798499999999999
252,0.1737999999999999
253,0.1690375
254,0.1642749999999999
255,0.1595125
256,0.15475
257,0.1499875
258,0.145225
259,0.1404625
260,0.1357
261,0.1309375
262,0.126175
263,0.1214124999999999
264,0.11665
265,0.112775
266,0.1089
267,0.105025
268,0.10115
269,0.097275
270,0.0934
271,0.089525
272,0.08565
273,0.081775
274,0.0779
275,0.074025
276,0.07015
277,0.0655833333333333
278,0.0610166666666666
279,0.05645
280,0.0518833333333333
281,0.0473166666666666
282,0.04275
283,0.0381833333333333
284,0.0336166666666666
285,0.02905
286,0.0244833333333333
287,0.0199166666666666
288,0.0153499999999999
289,0.0140708333333333
290,0.0127916666666666
291,0.0115124999999999
292,0.0102333333333333
293,0.0089541666666666
294,0.007675
295,0.0063958333333333
296,0.0051166666666666
297,0.0038375
298,0.0025583333333333
299,0.0012791666666666
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0008041666666666
410,0.0016083333333333
411,0.0024125
412,0.0032166666666666
413,0.0040208333333333
414,0.004825
415,0.0056291666666666
416,0.0064333333333333
417,0.0072375
418,0.0080416666666666
419,0.0088458333333333
420,0.00965
421,0.0166166666666666
422,0.0235833333333333
423,0.0305499999999999
424,0.0375166666666666
425,0.0444833333333333
426,0.0514499999999999
427,0.0584166666666666
428,0.0653833333333333
429,0.07235
430,0.0793166666666666
431,0.0862833333333333
432,0.09325
433,0.10615
434,0.11905
435,0.1319499999999999
436,0.14485
437,0.15775
438,0.1706499999999999
439,0.18355
440,0.1964499999999999
441,0.2093499999999999
442,0.22225
443,0.2351499999999999
444,0.24805
445,0.2576708333333333
446,0.2672916666666666
447,0.2769124999999999
448,0.2865333333333333
449,0.2961541666666666
450,0.3057749999999999
451,0.3153958333333333
452,0.3250166666666667
453,0.3346375
454,0.3442583333333333
455,0.3538791666666667
456,0.3635
457,0.3802208333333333
458,0.3969416666666666
459,0.4136625
460,0.4303833333333333
461,0.4471041666666666
462,0.463825
463,0.4805458333333333
464,0.4972666666666666
