interaction_count,mean_raw_ramp_reward,mean_raw_incremental_ramp_impact,episode_count,mean_completed_episode_return,elapsed_seconds
2048,1.4476573649578834e-06,-1.4476573649578834e-06,72,3.242123928537422e-05,22.14569479995407
4096,-1.8631813603269165e-06,1.8631813603269165e-06,76,-4.71004403697043e-05,44.98028459982015
6144,3.041271686883024e-06,-3.041271686883024e-06,76,8.362945768714388e-05,68.22694199997932
8192,6.22590916930808e-06,-6.22590916930808e-06,76,0.0001671186405780879,91.17447119997814
10240,8.288046660430786e-06,-8.288046660430786e-06,76,0.00021819297284254738,114.22261429997161
12288,1.0063303933393913e-05,-1.0063303933393913e-05,76,0.00026992884030306027,137.3939622999169
14336,1.4433468225242138e-05,-1.4433468225242138e-05,76,0.000389869740826866,160.94901669980027
16384,1.8208092826987185e-05,-1.8208092826987185e-05,76,0.00048298677493373255,183.84262379980646
18432,1.9335458896221628e-05,-1.9335458896221628e-05,76,0.0005173164708224945,206.59695719997399
20480,2.2082566486399432e-05,-2.2082566486399432e-05,76,0.000590908684508468,229.7446015998721
22528,2.482300758897389e-05,-2.482300758897389e-05,76,0.000681114432742419,252.63876389991492
24576,2.5215562024203864e-05,-2.5215562024203864e-05,76,0.0006808893110332653,275.4212712999433
26624,2.851430621713461e-05,-2.851430621713461e-05,76,0.0007549461942749022,298.6923704999499
28672,3.071813570867742e-05,-3.071813570867742e-05,76,0.0008380340089396613,321.7860594999511
30720,2.887506140792408e-05,-2.887506140792408e-05,76,0.0007771858571255777,345.04118649987504
32768,3.19412030973701e-05,-3.19412030973701e-05,76,0.0008548434098030085,368.21684799995273
34816,3.712306931831288e-05,-3.712306931831288e-05,76,0.0010069154680751753,390.7870675998274
36864,3.886587207454202e-05,-3.886587207454202e-05,76,0.0010454203514525266,413.3011109000072
38912,3.744924640502033e-05,-3.744924640502033e-05,76,0.0010094870297775041,435.6327699997928
40960,4.062448327636795e-05,-4.062448327636795e-05,76,0.0010928996733444644,458.1208066998515
43008,3.773981175518177e-05,-3.773981175518177e-05,76,0.0010165411011884542,480.99832459981553
45056,4.273874853603601e-05,-4.273874853603601e-05,76,0.0011550946573561042,503.79406200000085
47104,4.027626441362732e-05,-4.027626441362732e-05,76,0.0010893281473504186,526.4377107999753
49152,4.305857774542074e-05,-4.305857774542074e-05,76,0.0011669671868853593,549.4737764999736
51200,4.32133692545223e-05,-4.32133692545223e-05,76,0.0011645378961342146,572.2444096999243
53248,4.213736879166457e-05,-4.213736879166457e-05,76,0.00114086101236798,594.3321338999085
55296,4.27141598170523e-05,-4.27141598170523e-05,76,0.0011504688278839667,616.8518349998631
57344,4.612529428034509e-05,-4.612529428034509e-05,72,0.001243370920801931,639.4550003998447
59392,4.470097455738589e-05,-4.470097455738589e-05,76,0.0011954673146117468,661.8715474000201
61440,4.619337234186234e-05,-4.619337234186234e-05,76,0.0012598288357181012,684.5821433998644
63488,4.6641186663690116e-05,-4.6641186663690116e-05,76,0.0012646859887376662,707.4112610998563
65536,4.622540378408196e-05,-4.622540378408196e-05,76,0.0012510973494645188,730.6113219999243
67584,4.627225553459372e-05,-4.627225553459372e-05,76,0.0012249619271023056,753.7011837998871
