# full:global:R0_P3:s302
# job: {"combo": "R0_P3", "controller_scope": {"replay_ablation": "safety_plus_negative_demand_flush", "training": "safety_only"}, "deadline_bucket_edges": [1, 3, 6, 12, 24], "job_fingerprint": "5abb49fa3df3cdb2e0749f013089aa5b2d2994c0e0725316aab3c05d5671d2c7", "peak_penalty_weight": 0.015, "ppo": {"batch_size": 64, "gae_lambda": 0.95, "gamma": 1.0, "learning_rate": 0.0003, "learning_rate_schedule": "fixed", "n_epochs": 10, "n_steps": 2048, "net_arch": [128, 128], "normalize_observations": false, "target_kl": null}, "protocol_sha256": "42a39388adf3a1ed7597c255fa5352f690783b9e10cd49de60eae72e576ded6b", "region": "global", "reward": {"batch_completion_weight": 1500.0, "evaluation_batch_completion_weight": 1000.0, "evaluation_service_backlog_weight": 1000.0, "reward_scale": 0.0001, "service_backlog_weight": 700.0, "subtract_idle_cost": false, "urgency_potential_weight": 250.0}, "safety": {"batch_arrival_envelope_total": 1.0, "envelope_id": "ad-rounded-envelope-v1", "envelope_scope": "a-d-development-only", "future_fleet_capacity_total": 4.0, "max_grid_mw": null, "max_upward_ramp_mw": null, "negative_demand_flush": false, "negative_demand_flush_price_ceiling": null, "service_envelope_total": 2.25, "tolerance": 1e-09}, "seed": 302, "source_combo": "R0_P3", "stage": "full", "timesteps": 1003520, "train_scenario": "env/scenarios/global_model_v2_2025.yaml", "transfer_scenario": "env/scenarios/global_model_eh_v2_2025.yaml"}
# command: C:\Python314\python.exe train_v4.py --scenario C:\Users\jagal\copilot-worktrees\dc-energy-joint-optimization\jagal-microsoft-literate-umbrella\env\scenarios\global_model_v2_2025.yaml --model-path C:\Users\jagal\copilot-worktrees\dc-energy-joint-optimization\jagal-microsoft-literate-umbrella\models\ppo_v4_safety\_tmp\full_global_R0_P3_s302_47e497818ea243a5a2f97caa3ac6ffd5\model.zip --diagnostics-path C:\Users\jagal\copilot-worktrees\dc-energy-joint-optimization\jagal-microsoft-literate-umbrella\models\ppo_v4_safety\_tmp\full_global_R0_P3_s302_47e497818ea243a5a2f97caa3ac6ffd5\training.json --timesteps 1003520 --seed 302 --lr 0.0003 --lr-schedule fixed --n-steps 2048 --batch-size 64 --n-epochs 10 --gamma 1.0 --gae-lambda 0.95 --net-arch 128 128 --peak-penalty-weight 0.015 --service-backlog-weight 700.0 --batch-completion-weight 1500.0 --reward-scale 0.0001 --urgency-potential-weight 250.0 --service-envelope-total 2.25 --batch-arrival-envelope-total 1.0 --future-fleet-capacity-total 4.0 --envelope-id ad-rounded-envelope-v1 --envelope-scope a-d-development-only
# started: 2026-08-06T21:29:45.370317+00:00

Using cpu device
-----------------------------
| time/              |      |
|    fps             | 175  |
|    iterations      | 1    |
|    time_elapsed    | 11   |
|    total_timesteps | 2048 |
-----------------------------
-----------------------------------------
| time/                   |             |
|    fps                  | 155         |
|    iterations           | 2           |
|    time_elapsed         | 26          |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.012098188 |
|    clip_fraction        | 0.127       |
|    clip_range           | 0.2         |
|    entropy_loss         | -17         |
|    explained_variance   | -0.0645     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0154     |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0153     |
|    std                  | 1           |
|    value_loss           | 0.0588      |
-----------------------------------------
-----------------------------------------
| time/                   |             |
|    fps                  | 151         |
|    iterations           | 3           |
|    time_elapsed         | 40          |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.013938994 |
|    clip_fraction        | 0.155       |
|    clip_range           | 0.2         |
|    entropy_loss         | -17.1       |
|    explained_variance   | 0.494       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0267      |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0188     |
|    std                  | 1           |
|    value_loss           | 0.111       |
-----------------------------------------
-----------------------------------------
| time/                   |             |
|    fps                  | 151         |
|    iterations           | 4           |
|    time_elapsed         | 54          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.013522996 |
|    clip_fraction        | 0.132       |
|    clip_range           | 0.2         |
|    entropy_loss         | -17.1       |
|    explained_variance   | 0.737       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00455    |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0162     |
|    std                  | 1           |
|    value_loss           | 0.0842      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 8.93e+03     |
|    ep_rew_mean          | -649         |
| time/                   |              |
|    fps                  | 149          |
|    iterations           | 5            |
|    time_elapsed         | 68           |
|    total_timesteps      | 10240        |
| train/                  |              |
|    approx_kl            | 0.0122946575 |
|    clip_fraction        | 0.133        |
|    clip_range           | 0.2          |
|    entropy_loss         | -17          |
|    explained_variance   | 0.871        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0194       |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.0154      |
|    std                  | 0.998        |
|    value_loss           | 0.0899       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -649        |
| time/                   |             |
|    fps                  | 148         |
|    iterations           | 6           |
|    time_elapsed         | 82          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.011590442 |
|    clip_fraction        | 0.134       |
|    clip_range           | 0.2         |
|    entropy_loss         | -17         |
|    explained_variance   | 0.763       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0395      |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0156     |
|    std                  | 1           |
|    value_loss           | 0.288       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -649        |
| time/                   |             |
|    fps                  | 146         |
|    iterations           | 7           |
|    time_elapsed         | 97          |
|    total_timesteps      | 14336       |
| train/                  |             |
|    approx_kl            | 0.014223885 |
|    clip_fraction        | 0.143       |
|    clip_range           | 0.2         |
|    entropy_loss         | -17         |
|    explained_variance   | 0.887       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00125     |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0131     |
|    std                  | 0.995       |
|    value_loss           | 0.143       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -649        |
| time/                   |             |
|    fps                  | 145         |
|    iterations           | 8           |
|    time_elapsed         | 112         |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.014422289 |
|    clip_fraction        | 0.164       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.9       |
|    explained_variance   | 0.931       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0023     |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0184     |
|    std                  | 0.992       |
|    value_loss           | 0.129       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -663        |
| time/                   |             |
|    fps                  | 145         |
|    iterations           | 9           |
|    time_elapsed         | 126         |
|    total_timesteps      | 18432       |
| train/                  |             |
|    approx_kl            | 0.016313944 |
|    clip_fraction        | 0.164       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.9       |
|    explained_variance   | 0.967       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0599      |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0172     |
|    std                  | 0.988       |
|    value_loss           | 0.144       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -663        |
| time/                   |             |
|    fps                  | 145         |
|    iterations           | 10          |
|    time_elapsed         | 140         |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.015447647 |
|    clip_fraction        | 0.171       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.9       |
|    explained_variance   | 0.72        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.878       |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.0154     |
|    std                  | 0.984       |
|    value_loss           | 0.832       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -663        |
| time/                   |             |
|    fps                  | 144         |
|    iterations           | 11          |
|    time_elapsed         | 155         |
|    total_timesteps      | 22528       |
| train/                  |             |
|    approx_kl            | 0.013369869 |
|    clip_fraction        | 0.144       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.8       |
|    explained_variance   | 0.964       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0332      |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.00975    |
|    std                  | 0.983       |
|    value_loss           | 0.204       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 8.93e+03   |
|    ep_rew_mean          | -663       |
| time/                   |            |
|    fps                  | 144        |
|    iterations           | 12         |
|    time_elapsed         | 169        |
|    total_timesteps      | 24576      |
| train/                  |            |
|    approx_kl            | 0.01677008 |
|    clip_fraction        | 0.175      |
|    clip_range           | 0.2        |
|    entropy_loss         | -16.8      |
|    explained_variance   | 0.948      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.066      |
|    n_updates            | 110        |
|    policy_gradient_loss | -0.0184    |
|    std                  | 0.982      |
|    value_loss           | 0.186      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -663        |
| time/                   |             |
|    fps                  | 144         |
|    iterations           | 13          |
|    time_elapsed         | 184         |
|    total_timesteps      | 26624       |
| train/                  |             |
|    approx_kl            | 0.012510635 |
|    clip_fraction        | 0.128       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.8       |
|    explained_variance   | 0.972       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.116       |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.0118     |
|    std                  | 0.981       |
|    value_loss           | 0.241       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -664        |
| time/                   |             |
|    fps                  | 143         |
|    iterations           | 14          |
|    time_elapsed         | 199         |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.015296922 |
|    clip_fraction        | 0.159       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.8       |
|    explained_variance   | 0.979       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0684      |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.0181     |
|    std                  | 0.979       |
|    value_loss           | 0.339       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -664        |
| time/                   |             |
|    fps                  | 144         |
|    iterations           | 15          |
|    time_elapsed         | 213         |
|    total_timesteps      | 30720       |
| train/                  |             |
|    approx_kl            | 0.011551553 |
|    clip_fraction        | 0.134       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.8       |
|    explained_variance   | 0.74        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.161       |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.011      |
|    std                  | 0.978       |
|    value_loss           | 1.16        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 8.93e+03   |
|    ep_rew_mean          | -664       |
| time/                   |            |
|    fps                  | 143        |
|    iterations           | 16         |
|    time_elapsed         | 227        |
|    total_timesteps      | 32768      |
| train/                  |            |
|    approx_kl            | 0.01910644 |
|    clip_fraction        | 0.2        |
|    clip_range           | 0.2        |
|    entropy_loss         | -16.8      |
|    explained_variance   | 0.963      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0603     |
|    n_updates            | 150        |
|    policy_gradient_loss | -0.0187    |
|    std                  | 0.979      |
|    value_loss           | 0.281      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 8.93e+03   |
|    ep_rew_mean          | -664       |
| time/                   |            |
|    fps                  | 144        |
|    iterations           | 17         |
|    time_elapsed         | 241        |
|    total_timesteps      | 34816      |
| train/                  |            |
|    approx_kl            | 0.01316476 |
|    clip_fraction        | 0.164      |
|    clip_range           | 0.2        |
|    entropy_loss         | -16.8      |
|    explained_variance   | 0.977      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.072      |
|    n_updates            | 160        |
|    policy_gradient_loss | -0.0163    |
|    std                  | 0.976      |
|    value_loss           | 0.349      |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 8.93e+03     |
|    ep_rew_mean          | -664         |
| time/                   |              |
|    fps                  | 144          |
|    iterations           | 18           |
|    time_elapsed         | 255          |
|    total_timesteps      | 36864        |
| train/                  |              |
|    approx_kl            | 0.0144890975 |
|    clip_fraction        | 0.147        |
|    clip_range           | 0.2          |
|    entropy_loss         | -16.7        |
|    explained_variance   | 0.971        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.176        |
|    n_updates            | 170          |
|    policy_gradient_loss | -0.0163      |
|    std                  | 0.977        |
|    value_loss           | 0.424        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -664        |
| time/                   |             |
|    fps                  | 143         |
|    iterations           | 19          |
|    time_elapsed         | 270         |
|    total_timesteps      | 38912       |
| train/                  |             |
|    approx_kl            | 0.012181881 |
|    clip_fraction        | 0.143       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.7       |
|    explained_variance   | 0.896       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.393       |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0135     |
|    std                  | 0.977       |
|    value_loss           | 2.84        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -664        |
| time/                   |             |
|    fps                  | 143         |
|    iterations           | 20          |
|    time_elapsed         | 285         |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.016566651 |
|    clip_fraction        | 0.16        |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.7       |
|    explained_variance   | 0.951       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.161       |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.00817    |
|    std                  | 0.978       |
|    value_loss           | 0.395       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 8.93e+03     |
|    ep_rew_mean          | -664         |
| time/                   |              |
|    fps                  | 143          |
|    iterations           | 21           |
|    time_elapsed         | 299          |
|    total_timesteps      | 43008        |
| train/                  |              |
|    approx_kl            | 0.0135572385 |
|    clip_fraction        | 0.127        |
|    clip_range           | 0.2          |
|    entropy_loss         | -16.7        |
|    explained_variance   | 0.966        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.328        |
|    n_updates            | 200          |
|    policy_gradient_loss | -0.0112      |
|    std                  | 0.975        |
|    value_loss           | 0.658        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -662        |
| time/                   |             |
|    fps                  | 143         |
|    iterations           | 22          |
|    time_elapsed         | 314         |
|    total_timesteps      | 45056       |
| train/                  |             |
|    approx_kl            | 0.014767921 |
|    clip_fraction        | 0.14        |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.7       |
|    explained_variance   | 0.975       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.267       |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.0126     |
|    std                  | 0.975       |
|    value_loss           | 0.61        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -662        |
| time/                   |             |
|    fps                  | 143         |
|    iterations           | 23          |
|    time_elapsed         | 327         |
|    total_timesteps      | 47104       |
| train/                  |             |
|    approx_kl            | 0.010138305 |
|    clip_fraction        | 0.144       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.7       |
|    explained_variance   | 0.816       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.75        |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.0121     |
|    std                  | 0.973       |
|    value_loss           | 2.89        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -662        |
| time/                   |             |
|    fps                  | 143         |
|    iterations           | 24          |
|    time_elapsed         | 343         |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.028476594 |
|    clip_fraction        | 0.177       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.7       |
|    explained_variance   | 0.974       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.274       |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.0114     |
|    std                  | 0.974       |
|    value_loss           | 0.748       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -662        |
| time/                   |             |
|    fps                  | 142         |
|    iterations           | 25          |
|    time_elapsed         | 358         |
|    total_timesteps      | 51200       |
| train/                  |             |
|    approx_kl            | 0.018160611 |
|    clip_fraction        | 0.174       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.7       |
|    explained_variance   | 0.956       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.235       |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.0112     |
|    std                  | 0.975       |
|    value_loss           | 0.658       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -662        |
| time/                   |             |
|    fps                  | 143         |
|    iterations           | 26          |
|    time_elapsed         | 372         |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.018578433 |
|    clip_fraction        | 0.17        |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.7       |
|    explained_variance   | 0.966       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.247       |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.0118     |
|    std                  | 0.971       |
|    value_loss           | 0.849       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -660        |
| time/                   |             |
|    fps                  | 142         |
|    iterations           | 27          |
|    time_elapsed         | 387         |
|    total_timesteps      | 55296       |
| train/                  |             |
|    approx_kl            | 0.019050945 |
|    clip_fraction        | 0.181       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.7       |
|    explained_variance   | 0.982       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.327       |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.0135     |
|    std                  | 0.972       |
|    value_loss           | 0.914       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -660        |
| time/                   |             |
|    fps                  | 142         |
|    iterations           | 28          |
|    time_elapsed         | 402         |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.011157529 |
|    clip_fraction        | 0.147       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.7       |
|    explained_variance   | 0.858       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.4         |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.0148     |
|    std                  | 0.973       |
|    value_loss           | 3.06        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -660        |
| time/                   |             |
|    fps                  | 142         |
|    iterations           | 29          |
|    time_elapsed         | 416         |
|    total_timesteps      | 59392       |
| train/                  |             |
|    approx_kl            | 0.018189676 |
|    clip_fraction        | 0.225       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.7       |
|    explained_variance   | 0.965       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.21        |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.0157     |
|    std                  | 0.972       |
|    value_loss           | 0.728       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -660        |
| time/                   |             |
|    fps                  | 143         |
|    iterations           | 30          |
|    time_elapsed         | 429         |
|    total_timesteps      | 61440       |
| train/                  |             |
|    approx_kl            | 0.015425708 |
|    clip_fraction        | 0.204       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.7       |
|    explained_variance   | 0.976       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.285       |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.00964    |
|    std                  | 0.972       |
|    value_loss           | 0.837       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -657        |
| time/                   |             |
|    fps                  | 142         |
|    iterations           | 31          |
|    time_elapsed         | 444         |
|    total_timesteps      | 63488       |
| train/                  |             |
|    approx_kl            | 0.015583407 |
|    clip_fraction        | 0.18        |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.7       |
|    explained_variance   | 0.968       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.408       |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.0159     |
|    std                  | 0.971       |
|    value_loss           | 1.16        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -657        |
| time/                   |             |
|    fps                  | 142         |
|    iterations           | 32          |
|    time_elapsed         | 458         |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.016856771 |
|    clip_fraction        | 0.189       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.7       |
|    explained_variance   | 0.927       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.797       |
|    n_updates            | 310         |
|    policy_gradient_loss | -0.0135     |
|    std                  | 0.971       |
|    value_loss           | 4.17        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 8.93e+03   |
|    ep_rew_mean          | -657       |
| time/                   |            |
|    fps                  | 142        |
|    iterations           | 33         |
|    time_elapsed         | 472        |
|    total_timesteps      | 67584      |
| train/                  |            |
|    approx_kl            | 0.01438148 |
|    clip_fraction        | 0.214      |
|    clip_range           | 0.2        |
|    entropy_loss         | -16.7      |
|    explained_variance   | 0.947      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.603      |
|    n_updates            | 320        |
|    policy_gradient_loss | -0.0116    |
|    std                  | 0.969      |
|    value_loss           | 1.25       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -657        |
| time/                   |             |
|    fps                  | 142         |
|    iterations           | 34          |
|    time_elapsed         | 487         |
|    total_timesteps      | 69632       |
| train/                  |             |
|    approx_kl            | 0.014021486 |
|    clip_fraction        | 0.162       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.6       |
|    explained_variance   | 0.971       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.773       |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.0114     |
|    std                  | 0.967       |
