# ad_to_eh:us_batch:s104
# job: {"alpha": 0.015, "baseline_scope": {"batch_no_deferral_ablation": "Drain Immediately", "excluded_from_headline": "DQN/CFWS and algorithm-superiority tests", "headroom_only": "clairvoyant fluid QP lower bound", "primary": "Status Quo (local, no deferral)", "routing_sanity": "Round Robin"}, "batch": true, "completion_penalty": 1000.0, "config": "us_batch", "domain_randomization": true, "enforce_batch_completion": true, "fold": "ad_to_eh", "gamma": 1.0, "job_fingerprint": "03370e1d9e78253373d5f4f692f91334d377c0d7f964cdf9a24b820b2bd4d5b3", "protocol_sha256": "db21076d691ed2d29ceeac798ebc075fb6b60ff4851959d58d8a5a70deaf3317", "region": "us", "seed": 104, "test_scenario": "env/scenarios/us_model_eh_v2_2025.yaml", "timesteps": 501760, "train_scenario": "env/scenarios/us_model_v2_2025.yaml"}
# command: C:\Python314\python.exe train.py --scenario C:\Users\jagal\copilot-worktrees\dc-energy-joint-optimization\jagal-microsoft-literate-umbrella\env\scenarios\us_model_v2_2025.yaml --timesteps 501760 --lr 0.0003 --n-steps 2048 --batch-size 64 --net-arch 128 128 --peak-penalty-weight 0.015 --seed 104 --output-dir C:\Users\jagal\copilot-worktrees\dc-energy-joint-optimization\jagal-microsoft-literate-umbrella\models\oof_v2_2025\_tmp\ad_to_eh_us_batch_s104_d03b32b0ad4c4552bd80115d0ea9233d --domain-rand --batch-mode --enforce-batch-completion --completion-penalty 1000.0 --gamma 1.0
# started: 2026-08-06T03:35:36.833726+00:00

=== Training PPO on scenario: us_model_v2_2025_batch_completion_guard ===
Observation space: Box(-inf, inf, (55,), float32)
Action space: Box(-3.0, 3.0, (12,), float32)
Number of DCs: 4
Max steps per episode: 8928
Gamma: 1.0
Economic safety: backlog=$1,000.00/unit-step, expiry=$1,000.00/unit, reward_scale=0.0001, dense_completion=True
  US-Pacific: batch_fraction=0.166, mean_dur=2552s
  US-Mountain: batch_fraction=0.157, mean_dur=1155s
  US-Central: batch_fraction=0.223, mean_dur=2082s
  US-Eastern: batch_fraction=0.264, mean_dur=3865s
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.

Training for 501760 timesteps...
-----------------------------
| time/              |      |
|    fps             | 717  |
|    iterations      | 1    |
|    time_elapsed    | 2    |
|    total_timesteps | 2048 |
-----------------------------
-----------------------------------------
| time/                   |             |
|    fps                  | 514         |
|    iterations           | 2           |
|    time_elapsed         | 7           |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.011743862 |
|    clip_fraction        | 0.128       |
|    clip_range           | 0.2         |
|    entropy_loss         | -17.1       |
|    explained_variance   | 0.183       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00036     |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0154     |
|    std                  | 1.01        |
|    value_loss           | 0.128       |
-----------------------------------------
-----------------------------------------
| time/                   |             |
|    fps                  | 440         |
|    iterations           | 3           |
|    time_elapsed         | 13          |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.014217626 |
|    clip_fraction        | 0.132       |
|    clip_range           | 0.2         |
|    entropy_loss         | -17.1       |
|    explained_variance   | 0.707       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0478      |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0156     |
|    std                  | 1           |
|    value_loss           | 0.236       |
-----------------------------------------
-----------------------------------------
| time/                   |             |
|    fps                  | 420         |
|    iterations           | 4           |
|    time_elapsed         | 19          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.015335226 |
|    clip_fraction        | 0.15        |
|    clip_range           | 0.2         |
|    entropy_loss         | -17         |
|    explained_variance   | 0.839       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0523      |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0187     |
|    std                  | 1           |
|    value_loss           | 0.281       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -733        |
| time/                   |             |
|    fps                  | 398         |
|    iterations           | 5           |
|    time_elapsed         | 25          |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.016316686 |
|    clip_fraction        | 0.162       |
|    clip_range           | 0.2         |
|    entropy_loss         | -17         |
|    explained_variance   | 0.897       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0804      |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0173     |
|    std                  | 1           |
|    value_loss           | 0.315       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -733        |
| time/                   |             |
|    fps                  | 377         |
|    iterations           | 6           |
|    time_elapsed         | 32          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.011771225 |
|    clip_fraction        | 0.123       |
|    clip_range           | 0.2         |
|    entropy_loss         | -17.1       |
|    explained_variance   | 0.882       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0826      |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0148     |
|    std                  | 1           |
|    value_loss           | 0.753       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -733        |
| time/                   |             |
|    fps                  | 367         |
|    iterations           | 7           |
|    time_elapsed         | 39          |
|    total_timesteps      | 14336       |
| train/                  |             |
|    approx_kl            | 0.013920376 |
|    clip_fraction        | 0.148       |
|    clip_range           | 0.2         |
|    entropy_loss         | -17.1       |
|    explained_variance   | 0.914       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.112       |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0177     |
|    std                  | 1           |
|    value_loss           | 0.45        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -733        |
| time/                   |             |
|    fps                  | 367         |
|    iterations           | 8           |
|    time_elapsed         | 44          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.011192564 |
|    clip_fraction        | 0.117       |
|    clip_range           | 0.2         |
|    entropy_loss         | -17.1       |
|    explained_variance   | 0.907       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.202       |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0111     |
|    std                  | 1           |
|    value_loss           | 0.592       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.93e+03    |
|    ep_rew_mean          | -731        |
| time/                   |             |
|    fps                  | 373         |
|    iterations           | 9           |
|    time_elapsed         | 49          |
|    total_timesteps      | 18432       |
| train/                  |             |
|    approx_kl            | 0.013976309 |
|    clip_fraction        | 0.138       |
|    clip_range           | 0.2         |
|    entropy_loss         | -17         |
|    explained_variance   | 0.929       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.14        |
